text,label
"Olá, muito prazer! Sou o seu assistente virtual e meu papel é te ajudar a vender mais, juntar uma grana e crescer. Você já é meu cliente? 😊",chatbot
"Fechado, vamos fazer assim. Você passa os dados, já deixo dei cadastro pronto, ai no dia 25 eu entro em contato com você e lhe envio o boleto. Pode ser?",chatbot
"Pra adiantar, vou precisar que você me fale qual é o seu e-mail!",chatbot
"Humm eu não entendi, desculpa.

Digite 1 para falar com um consultor

Digite 2 para fazer sua inscrição",chatbot
Pera só um instante que vou checar aqui se encontro algum pedido seu em aberto.,chatbot
"Você tem algum desses problemas de saúde?

1. Diabetes
2. Pressão alta
3. Problemas nos rins
4. Problemas respiratórios
5. Problemas cardíacos
6. Deficiências imunológicas: portador de HIV, em tratamento para algum câncer, portador de doenças autoimunes (como lúpus, síndrome antifosfolípide, ...), realizou transplante ou usa corticoide

Pode digitar os números ou os problemas separados por vírgula (exemplo: Tosse, dor de cabeça e mal estar) ou digite *NÃO* se não estiver.",chatbot
Infelizmente eu não consegui te entender. Você gostaria de falar com uma atendente?,chatbot
Qual o seu primeiro nome?,chatbot
Você não possui nenhum pedido em aberto!,chatbot
"Você está com algum dos sintomas abaixo?

1. Febre
2. Tosse
3. Nariz escorrendo
4. Dor de cabeça
5. Dor de garganta
6. Dores pelo corpo
7. Diarreia

Digite os números dos sintomas separados por vírgula (exemplo: 2, 5, 7) ou digite *NÃO* se não tiver apresentado nenhum dos sintomas descritos acima.",chatbot
Agora vamos lá!,chatbot
"Desculpe, não entendi sua dúvida. Do que você precisa agora? (Digite o número da opção desejada)

1. 👩‍⚕️ Atendimento online sobre o novo Coronavírus (COVID-19) 
2. ❓ Informações sobre o novo Coronavírus (COVID-19)
3. Outros",chatbot
Qual o seu primeiro nome?,chatbot
"Precisamos da sua localização para controlar a contaminação pelo vírus. 

Clique no 📎 ou no ➕, selecione ""Localização"" e depois ""Localização fixa"".

Ao compartilhar sua localização, você ajuda o Governo a te proteger e proteger os outros.

Caso não deseje compartilhar, digite ""Não"".",chatbot
Qual o seu primeiro nome?,chatbot
Qual o seu primeiro nome?,chatbot
"Pra adiantar, vou precisar que você me fale qual é o seu e-mail!",chatbot
"Do que você precisa agora?

1. 👩‍⚕️ Atendimento online sobre o novo Coronavírus (COVID-19) 
2. ❓ Informações sobre o novo Coronavírus (COVID-19) 
3. 💛 Orientações sobre cuidados com a Saúde Mental
4. Outros",chatbot
"Estou finalizando o chat por falta de resposta, mas, qualquer dúvida, pode entrar em contato conosco. É só nos procurar que estaremos prontos para ajudar!",chatbot
Qual área você deseja responder agora?,chatbot
"Consegui entender que você quer saber mais sobre riscos. O que você gostaria de saber?

1. Como essa doença se apresenta?
2. Como essa doença se espalha?
3. Essa doença é transmitida pelo ar?
4. Devo me preocupar com essa doença?
5. Quem é grupo de risco?",chatbot
"Poxa, acho que você está um pouco ocupado, mas vamos lá é a sua chance de mudar de vida e ter a graduação que tanto deseja.",chatbot
Qual o seu primeiro nome?,chatbot
Você está em isolamento domiciliar?,chatbot
"Do que você precisa agora?

1. Atendimento online sobre o novo Coronavírus (COVID-19)
2. Informações sobre o novo Coronavírus (COVID-19)
3. Outros",chatbot
Qual o seu primeiro nome?,chatbot
Pera só um instante que vou checar aqui se encontro algum pedido seu em aberto.,chatbot
"Perfeito! Agora me envie somente o código de erro exibido. (Ex: 4, 1001)",chatbot
Quer fazer outra pergunta?,chatbot
"Opa! Me desculpa, mas eu tive uma falha. Se você mandou foto ou áudio, provavelmente foi por isso. Eu to aprendendo, ok? ",chatbot
Conto com a sua paciência! Logo alguém do meu time vai continuar a conversa. Você está em  lugar na fila.,chatbot
Qual o seu primeiro nome?,chatbot
Qual o seu primeiro nome?,chatbot
"Digite o seu documento (CPF ou CNPJ) cadastrado conosco. 

Regras:
- Digite somente números;
- Não digite pontos. 
- Não digite traços; 
- Não digite barras.

Caso queira retornar ao início do atendimento, digite ""voltar""",chatbot
"Certo, então vou te passar algumas opções de atendimento. Sobre qual assunto você deseja falar?

1 – 2º via de boleto
2 – Financeiro
3 – Assistência técnica
4 – Financiamento bancário
5 – Cancelamento da compra
6 - Andamento de obra
7 - Via do contrato
8 - Empreendimentos
9 – Outras informações",chatbot
"Do que você precisa agora? (Digite o número da opção desejada)

1. 👩‍⚕️ Atendimento online sobre o novo Coronavírus (COVID-19) 
2. ❓ Informações sobre o novo Coronavírus (COVID-19) 
3. 💛 Orientações sobre cuidados com a Saúde Mental
4. Outros",chatbot
Qual o seu primeiro nome?,chatbot
"Do que você precisa agora? (Digite o número da opção desejada)

1. 👩‍⚕️ Atendimento online sobre o novo Coronavírus (COVID-19) 
2. ❓ Informações sobre o novo Coronavírus (COVID-19) 
3. 💛 Orientações sobre cuidados com a Saúde Mental
4. Outros",chatbot
"Então, vamos começar?

Primeiro, precisamos fazer uma avaliação da sua condição de saúde.

⚠️ O resultado dessa avaliação depende da verdade de suas respostas e não substitui a avaliação de um profissional de saúde.",chatbot
"*Lembre-se de que você é parte importante no combate ao novo Coronavírus.* Se proteja e ajude a proteger os outros. Siga as orientações a seguir, especialmente enquanto ainda estiver sentindo algum sintoma:

 🧼 Lave sempre as mãos com água e sabão 

 👄 Evite tocar nos olhos, no nariz e na boca

 😷 Se estiver tossindo ou espirrando, use máscara
 
 🏠 Fique em casa",chatbot
Estou te encaminhando para uma pessoa que vai te atender!,chatbot
